district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
0,5295,9662,,0,0,1,382,1,37.739179,-122.166871,
0,5296,4858,6.9,1,2,2,382,1,37.786077,-122.219262,13.0
1,69,1268,,0,1,2,97,19,33.878895,-118.071268,
1,288,1016,,0,0,1,287,19,33.835128,-118.084126,
1,570,1186,,0,0,1,287,19,33.845985,-118.074159,
1,1067,928,,0,1,2,97,19,33.856177,-118.089485,
1,1195,3218,,0,0,1,26,19,33.870228,-118.087244,
1,1457,1803,,0,1,2,97,19,33.880378,-118.071542,
1,1495,3602,,0,1,2,97,19,33.85614,-118.0686,
1,1622,1874,,0,1,2,97,19,33.865148,-118.041165,
1,1623,1398,,0,1,2,97,19,33.865404,-118.064576,
1,2859,3407,,0,0,1,97,19,33.864728,-118.070246,
1,3122,4218,,0,0,1,225,19,33.834901,-118.076809,
1,3382,4420,,0,0,1,0,19,33.826715,-118.076078,
1,3400,741,,0,0,1,97,19,33.874873,-118.096358,
1,3633,1885,,0,1,2,97,19,33.878637,-118.041282,
1,3897,944,,0,0,1,97,19,33.848096,-118.087857,
1,3906,1313,,0,0,1,225,19,33.823921,-118.067597,
1,4643,1073,,0,1,2,26,19,33.874513,-118.078883,
1,4718,3170,,0,0,1,26,19,33.87219,-118.070616,
1,5100,1543,,0,1,2,97,19,33.861074,-118.056689,
1,5888,4194,,0,0,1,0,19,33.835994,-118.067588,
1,6445,2938,,0,0,1,26,19,33.880036,-118.085722,
1,6460,3708,,0,1,2,97,19,33.852771,-118.07646,
1,6959,1347,,0,0,1,287,19,33.842414,-118.066275,
1,7897,3214,,0,0,1,26,19,33.872951,-118.076916,
1,8806,1776,,0,1,2,97,19,33.876433,-118.047499,
1,9091,1314,,0,0,1,97,19,33.847002,-118.068975,
1,9251,1246,,0,1,2,97,19,33.87894,-118.072014,
1,9960,2942,,0,1,2,97,19,33.877783,-118.053555,
1,10118,2943,,0,1,2,97,19,33.878112,-118.057171,
2,98,3712,,0,0,1,0,6,37.87725,-122.073346,
2,99,3712,,0,1,2,0,6,37.87725,-122.073346,
2,100,1125,,0,1,2,0,6,37.904924,-122.098853,
2,1365,5782,,0,1,2,0,6,37.853918,-122.125044,
2,5033,2226,,0,1,2,0,6,37.89141,-122.057734,
2,6034,9982,,0,1,2,0,6,37.842598,-122.145066,
3,1051,1910,,0,1,2,30,31,38.935346,-121.056089,
4,1975,6170,,0,1,2,0,19,34.472772,-118.196464,
4,4047,6632,,0,1,2,0,19,34.492147,-118.193068,
4,4266,5523,,0,1,2,0,19,34.450966,-118.625534,
4,4316,6316,,0,0,1,0,19,34.490457,-118.161441,
4,5876,5853,7.3,1,2,2,2,19,34.474787,-118.18607,7.3
4,5941,6063,,0,0,1,22,19,34.151171,-118.022367,
4,5942,6062,,0,0,1,22,19,34.151171,-118.022367,
4,8254,6169,,0,0,1,0,19,34.472772,-118.196464,
4,9533,6357,,0,0,1,0,19,34.51258,-118.215652,
5,134,3259,,0,0,1,0,36,34.576866,-117.409614,
5,1956,2153,,0,0,1,3,36,34.512255,-117.433856,
5,2402,2139,,0,0,1,3,36,34.511569,-117.417274,
5,2480,2573,,0,0,1,3,36,34.533038,-117.417521,
5,2604,1418,,0,1,2,589,36,34.478744,-117.388733,
5,2775,3621,,0,0,1,167,36,34.600347,-117.632401,
5,3501,502,,0,0,1,0,36,34.579505,-117.43478,
5,3767,1666,,0,1,2,589,36,34.542967,-117.346744,
5,5894,2654,,0,1,2,0,36,34.676276,-117.380827,
5,5929,1607,,0,1,2,0,36,34.61924,-117.389383,
5,6194,1738,,0,1,2,589,36,34.491272,-117.390503,
5,9133,470,,0,0,1,0,36,34.513959,-117.419963,
5,9582,877,,0,0,1,0,36,34.542951,-117.415008,
5,9850,2636,,0,1,2,589,36,34.537751,-117.372687,
5,9934,3384,,0,0,1,0,36,34.580712,-117.421827,
6,165,6000,,0,0,1,228,1,37.658204,-122.097209,
6,166,4998,,0,0,1,490,1,37.716042,-122.118359,
6,1209,9008,,0,1,2,228,1,37.666072,-122.111168,
6,1993,4143,,0,1,2,382,1,37.785015,-122.238761,
6,2117,11243,,0,1,2,382,1,37.746479,-122.161762,
6,2941,2440,,0,1,2,382,1,37.804557,-122.268201,
6,5091,10413,,0,1,2,382,1,37.775462,-122.232648,
6,6654,8945,,0,1,2,382,1,37.77327,-122.184973,
6,9404,8471,,0,1,2,382,1,37.778512,-122.190238,
6,10224,563,,0,1,2,382,1,37.846934,-122.285071,
6,10225,9477,,0,1,2,0,1,37.830487,-122.268096,
7,163,1591,,0,0,1,5,1,37.770959,-122.288416,
7,164,3514,,0,0,1,303,1,37.679195,-121.771678,
7,168,4361,,0,1,2,5,1,37.764248,-122.248057,
7,169,8636,,0,1,2,5,1,37.779937,-122.273448,
7,330,9092,,0,0,1,382,1,37.764799,-122.19558,
7,356,7027,,0,1,2,5,1,37.744661,-122.238152,
7,781,3791,,0,1,2,5,1,37.738034,-122.252029,
7,2478,3314,,0,0,1,5,1,37.76204,-122.259003,
7,2699,5326,,0,1,2,5,1,37.764442,-122.234832,
7,2914,4079,,0,1,2,5,1,37.773607,-122.289959,
7,3293,5846,,0,1,2,5,1,37.753753,-122.238297,
7,3305,2130,,0,1,2,5,1,37.769179,-122.261859,
7,3988,3944,,0,1,2,5,1,37.769866,-122.250234,
7,4355,3534,7.6,1,2,2,5,1,37.779689,-122.287832,7.6
7,5228,1379,,0,1,2,5,1,37.766942,-122.23205,
7,5811,10429,,0,1,2,0,1,37.887464,-122.303546,
7,6351,3533,,0,1,2,5,1,37.779689,-122.287832,
7,7698,10081,,0,1,2,5,1,37.773337,-122.273838,
7,7925,6515,,0,1,2,5,1,37.781841,-122.285496,
7,9095,7083,7.2,1,2,2,5,1,37.776383,-122.285469,7.2
7,9096,7082,,0,1,2,5,1,37.776383,-122.285469,
7,9984,7313,,0,1,2,382,1,37.799562,-122.280247,
7,10006,7605,,0,1,2,5,1,37.770809,-122.283692,
8,176,8938,,0,0,1,0,1,37.896549,-122.292563,
8,177,9768,8.2,1,2,2,0,1,37.893166,-122.302797,8.2
8,178,8939,,0,1,2,0,1,37.896549,-122.292563,
8,179,1435,,0,1,2,0,1,37.897675,-122.295346,
8,2056,10918,,0,1,2,49,1,37.88971,-122.295256,
8,5511,8940,,0,1,2,0,1,37.897482,-122.292963,
8,5673,154,,0,1,2,0,1,37.888418,-122.288236,
8,6679,105,,0,1,2,0,1,37.88751,-122.301014,
9,211,208,5.6,1,2,2,6,19,34.093074,-118.128818,5.6
9,1114,3016,12.0,1,2,2,356,19,34.045837,-118.152662,12.0
9,1616,3787,,0,1,2,6,19,34.09119,-118.141924,
9,2890,5541,5.8,1,2,2,6,19,34.087886,-118.154417,5.8
9,3337,3861,,0,1,2,6,19,34.070439,-118.150805,
9,3430,627,6.5,1,2,2,6,19,34.101424,-118.132933,15.0
9,3660,78,,0,1,2,6,19,34.098323,-118.116877,
9,5651,2741,6.1,1,2,2,6,19,34.075371,-118.138246,6.1
9,5704,8164,,0,1,2,6,19,34.069874,-118.116617,
9,5704,8163,,0,1,2,6,19,34.069874,-118.116617,
9,5735,10815,,0,1,2,6,19,34.085618,-118.116848,
9,6151,6995,,0,1,2,356,19,34.058178,-118.15633,
9,7010,5827,,0,1,2,6,19,34.09536,-118.142151,
9,7450,8271,,0,1,2,6,19,34.076193,-118.128589,
9,7579,9294,7.5,1,2,2,356,19,34.053959,-118.128273,7.5
9,8066,10280,,0,1,2,483,19,34.095669,-118.107815,
9,10024,7168,8.2,1,2,2,6,19,34.08602,-118.135552,11.0
9,10190,1098,17.0,1,2,2,356,19,34.062147,-118.129012,17.0
10,223,2141,,0,0,1,472,27,36.682074,-121.604924,
10,752,7400,,0,0,1,472,27,36.674083,-121.601989,
10,1637,1264,,0,0,1,472,27,36.68785,-121.603079,
10,2138,3208,,0,0,1,472,27,36.70427,-121.611601,
10,2547,10955,,0,0,1,472,27,36.685391,-121.61669,
10,3294,1586,,0,0,1,472,27,36.694866,-121.607973,
10,3337,1420,,0,0,1,472,27,36.676543,-121.620536,
10,4476,10841,,0,0,1,472,27,36.685136,-121.617148,
10,4526,3071,,0,1,2,472,27,36.709764,-121.617749,
10,6118,1592,,0,0,1,472,27,36.682256,-121.596867,
10,6664,852,,0,1,2,472,27,36.705447,-121.670204,
10,6831,2398,,0,0,1,472,27,36.689176,-121.594228,
10,9644,9492,,0,0,1,472,27,36.696491,-121.61407,
11,241,6287,,0,1,2,0,57,35.863385,-119.392497,
12,290,8465,,0,1,2,8,57,35.887343,-119.486357,
12,291,8466,,0,0,1,8,57,35.887343,-119.486357,
12,9305,11286,,0,1,2,8,57,35.884149,-119.487351,
13,300,3430,,0,1,2,0,37,32.837563,-116.774421,
