city	schoolName
0	7,33,65,87,98,99,100,101,108,114,120,134,135,142,146,150,171,172,176,177,178,179,180,182,185,188,196,208,213,219,222,229,231,241,248,254,255,259,262,266,268,279,283,285,286,292,295,299,300,301,310,311,322,323,331,332,334,335,339,340,343,347,348,391,401,413,416,423,424,430,440,443,444,456,465,473,474,483,484,485,487,501,502,512,515,516,542,544,546,554,566,574,578,583,587,593,594,595,601,611,617,621,646,669,676,691,701,719,723,730,731,758,765,780,787,793,797,806,812,813,827,828,831,832,833,834,837,838,843,844,849,850,866,869,870,876,877,881,887,906,922,948,956,959,963,979,980,992,993,997,999,1001,1012,1014,1015,1016,1018,1025,1026,1031,1032,1040,1041,1042,1044,1045,1049,1062,1071,1072,1089,1100,1102,1116,1118,1133,1138,1140,1143,1150,1154,1155,1160,1163,1169,1182,1189,1190,1212,1214,1215,1227,1249,1289,1292,1303,1309,1325,1331,1343,1344,1345,1346,1358,1362,1365,1391,1392,1410,1423,1428,1431,1432,1440,1444,1445,1448,1452,1459,1474,1497,1502,1503,1507,1513,1526,1533,1535,1537,1538,1539,1541,1542,1550,1555,1559,1563,1596,1597,1619,1621,1628,1629,1635,1637,1638,1639,1640,1661,1670,1697,1705,1731,1736,1740,1754,1788,1796,1802,1825,1827,1828,1874,1894,1899,1905,1913,1930,1933,1938,1940,1948,1955,1972,1975,1976,1989,2020,2025,2042,2044,2054,2063,2064,2082,2085,2094,2096,2100,2103,2108,2110,2111,2122,2132,2133,2140,2141,2155,2158,2160,2161,2172,2179,2195,2196,2197,2198,2211,2212,2215,2216,2220,2242,2246,2274,2277,2287,2288,2290,2312,2316,2320,2323,2326,2331,2335,2337,2343,2345,2346,2347,2358,2359,2360,2361,2364,2365,2377,2379,2389,2390,2395,2417,2427,2436,2438,2481,2483,2500,2501,2502,2503,2507,2508,2516,2517,2520,2521,2560,2562,2567,2568,2578,2579,2580,2602,2609,2613,2619,2627,2642,2647,2663,2668,2681,2687,2701,2702,2709,2713,2722,2730,2739,2741,2742,2743,2744,2751,2753,2760,2774,2776,2777,2779,2790,2794,2810,2811,2815,2827,2831,2833,2834,2835,2841,2846,2848,2850,2853,2854,2856,2858,2862,2871,2872,2873,2874,2892,2893,2894,2905,2912,2913,2927,2938,2959,2965,2980,2981,2991,2992,2993,2994,2995,3006,3020,3043,3050,3063,3070,3077,3084,3088,3093,3094,3095,3096,3097,3099,3100,3103,3116,3128,3133,3161,3162,3163,3164,3165,3170,3171,3179,3182,3188,3189,3197,3198,3199,3200,3201,3207,3208,3211,3213,3216,3225,3226,3227,3228,3232,3233,3235,3236,3246,3248,3249,3250,3264,3269,3271,3272,3275,3288,3298,3305,3320,3321,3322,3325,3328,3337,3346,3356,3361,3373,3382,3384,3393,3399,3401,3407,3428,3429,3430,3432,3453,3454,3466,3469,3477,3501,3507,3516,3523,3524,3554,3579,3581,3590,3599,3600,3601,3602,3603,3606,3610,3613,3615,3617,3618,3622,3628,3629,3642,3643,3646,3649,3656,3657,3670,3672,3684,3693,3702,3704,3710,3711,3715,3718,3721,3731,3734,3737,3745,3747,3760,3768,3770,3771,3772,3776,3798,3799,3800,3801,3820,3824,3825,3826,3828,3844,3856,3859,3871,3872,3874,3875,3894,3895,3901,3902,3922,3930,3938,3941,3945,3951,3964,3967,3968,3969,3971,3972,3977,3993,3994,3995,4004,4005,4009,4016,4032,4033,4037,4042,4047,4048,4062,4064,4078,4079,4082,4083,4085,4098,4108,4109,4110,4111,4128,4129,4166,4168,4169,4177,4186,4193,4199,4210,4214,4226,4229,4231,4232,4233,4234,4239,4240,4241,4242,4244,4245,4246,4248,4254,4266,4277,4299,4316,4338,4339,4345,4349,4350,4357,4358,4371,4378,4383,4384,4389,4391,4398,4399,4400,4401,4410,4424,4428,4433,4434,4438,4439,4440,4441,4452,4461,4468,4486,4487,4491,4495,4497,4499,4512,4513,4520,4572,4587,4596,4599,4600,4633,4636,4646,4667,4685,4688,4714,4720,4725,4731,4734,4742,4753,4766,4784,4785,4786,4792,4795,4796,4801,4807,4810,4819,4823,4840,4855,4858,4859,4864,4865,4866,4867,4871,4875,4880,4882,4889,4908,4910,4932,4936,4937,4940,4946,4962,4967,4973,4976,4983,4988,4989,4991,4992,4993,5000,5006,5007,5016,5033,5036,5039,5057,5069,5071,5089,5090,5108,5122,5129,5138,5142,5143,5144,5147,5149,5164,5166,5169,5173,5178,5180,5191,5193,5194,5208,5211,5213,5214,5223,5232,5233,5234,5246,5251,5254,5257,5260,5270,5271,5272,5274,5280,5281,5288,5295,5307,5308,5309,5312,5315,5316,5331,5332,5334,5344,5345,5352,5362,5363,5368,5375,5399,5404,5412,5413,5414,5415,5417,5424,5427,5430,5431,5440,5444,5447,5451,5462,5463,5465,5466,5468,5470,5479,5483,5498,5502,5511,5512,5517,5523,5534,5554,5555,5559,5573,5576,5580,5581,5594,5611,5616,5617,5625,5640,5649,5659,5668,5673,5674,5682,5693,5694,5705,5726,5736,5737,5740,5758,5759,5760,5762,5768,5770,5777,5781,5782,5783,5790,5796,5807,5808,5809,5811,5819,5820,5821,5823,5826,5829,5833,5841,5843,5852,5853,5868,5879,5883,5886,5888,5894,5898,5900,5901,5902,5903,5909,5915,5929,5931,5940,5963,5964,5965,5966,5967,5969,5973,5977,5982,5983,5984,5985,5989,5995,6016,6021,6034,6035,6040,6041,6053,6061,6070,6077,6078,6079,6080,6087,6093,6095,6103,6113,6120,6125,6128,6129,6137,6152,6154,6162,6164,6168,6197,6201,6205,6214,6222,6223,6225,6229,6232,6233,6239,6241,6249,6250,6252,6265,6269,6281,6287,6305,6307,6314,6321,6353,6355,6357,6358,6382,6385,6420,6421,6430,6435,6437,6438,6450,6457,6458,6459,6478,6483,6484,6487,6498,6503,6504,6507,6514,6515,6516,6518,6532,6545,6546,6547,6551,6573,6574,6575,6577,6579,6580,6581,6584,6585,6590,6591,6592,6597,6600,6602,6609,6613,6614,6617,6618,6621,6628,6631,6636,6637,6641,6656,6661,6669,6679,6685,6693,6698,6701,6708,6709,6711,6712,6713,6715,6716,6721,6725,6737,6747,6752,6766,6775,6788,6795,6797,6798,6800,6802,6804,6807,6809,6814,6817,6821,6839,6844,6859,6860,6870,6871,6873,6883,6885,6892,6911,6926,6927,6928,6929,6936,6937,6938,6941,6947,6953,6966,6989,6990,6991,6992,6993,6995,6996,6997,6998,6999,7001,7007,7008,7010,7031,7035,7036,7037,7050,7053,7054,7061,7064,7076,7085,7092,7104,7110,7111,7116,7119,7121,7134,7145,7148,7152,7156,7157,7159,7161,7162,7164,7173,7174,7175,7177,7185,7191,7193,7194,7195,7196,7200,7202,7203,7204,7206,7213,7214,7218,7222,7224,7235,7236,7241,7244,7246,7248,7267,7281,7286,7289,7318,7324,7345,7346,7347,7349,7356,7360,7380,7381,7388,7391,7401,7404,7409,7412,7416,7420,7424,7430,7438,7439,7445,7449,7454,7463,7482,7486,7490,7491,7492,7496,7499,7514,7516,7520,7531,7535,7545,7546,7547,7549,7550,7555,7557,7571,7580,7608,7619,7622,7627,7632,7645,7648,7663,7669,7673,7675,7684,7687,7688,7701,7702,7704,7706,7712,7719,7720,7721,7723,7734,7736,7740,7741,7742,7752,7756,7770,7784,7795,7806,7824,7829,7834,7843,7859,7878,7880,7881,7887,7888,7898,7900,7903,7904,7908,7909,7910,7932,7938,7959,7977,7981,7982,7983,7995,8000,8001,8005,8006,8007,8008,8011,8013,8016,8047,8048,8049,8050,8051,8052,8053,8067,8087,8090,8091,8099,8100,8102,8103,8104,8110,8112,8113,8115,8116,8126,8148,8149,8160,8163,8173,8191,8198,8199,8219,8224,8225,8254,8259,8276,8277,8281,8290,8291,8296,8300,8318,8319,8321,8330,8335,8338,8355,8357,8363,8370,8379,8399,8405,8406,8407,8411,8415,8417,8419,8426,8427,8433,8438,8439,8440,8442,8443,8444,8446,8460,8475,8480,8483,8498,8503,8507,8516,8517,8521,8527,8543,8544,8553,8554,8558,8566,8573,8581,8592,8594,8600,8608,8624,8625,8626,8628,8630,8634,8641,8644,8645,8655,8674,8677,8680,8682,8684,8689,8690,8692,8694,8696,8708,8714,8725,8728,8735,8737,8739,8740,8743,8744,8770,8772,8773,8790,8792,8800,8802,8807,8808,8810,8813,8814,8815,8818,8821,8838,8845,8846,8852,8859,8895,8897,8899,8908,8914,8918,8923,8924,8938,8939,8943,8944,8947,8949,8950,8959,8961,8962,8963,8967,8985,8994,8995,8996,8998,9002,9016,9026,9054,9075,9076,9077,9080,9084,9102,9104,9120,9124,9128,9133,9142,9144,9147,9151,9178,9179,9180,9184,9187,9192,9194,9196,9199,9212,9221,9222,9224,9255,9257,9261,9268,9271,9283,9289,9291,9292,9295,9299,9301,9302,9303,9304,9318,9324,9333,9348,9350,9353,9366,9367,9368,9375,9376,9402,9409,9422,9427,9431,9435,9436,9440,9453,9456,9457,9459,9460,9465,9467,9471,9474,9488,9492,9496,9497,9528,9529,9531,9533,9553,9555,9563,9564,9572,9573,9582,9591,9601,9604,9624,9632,9645,9648,9657,9659,9662,9668,9673,9684,9696,9699,9700,9708,9712,9730,9733,9736,9738,9741,9742,9745,9754,9765,9772,9773,9775,9784,9788,9814,9816,9857,9858,9869,9877,9878,9880,9894,9918,9924,9934,9936,9938,9945,9946,9948,9961,9979,9987,9995,9998,10026,10046,10050,10051,10057,10058,10059,10061,10079,10082,10091,10092,10097,10098,10100,10101,10102,10107,10108,10111,10116,10123,10134,10135,10152,10153,10154,10155,10164,10165,10184,10191,10193,10194,10209,10210,10222,10225,10229,10230,10231,10232,10238,10239,10240,10241
1	2010,6665,6948,9345,9346
2	5876
3	1956,2402,2480
4	154,1237,4296,5249,5696,8842,10182
5	163,168,169,356,781,2478,2635,2699,2914,3293,3305,3988,4355,5228,6351,7698,7699,7925,8682,8683,8698,9095,9096,9106,10006
6	211,953,1616,2890,3337,3430,3660,5651,5704,5735,7010,7450,10024
7	227,228,1402,1992,2470,2471,4634,6607,10127
8	290,291,9305
9	2137,6240,8346
