county	schoolName
0	1155,2713,3246,3599,5790,6229,6430,6766,8433,8947,9684
1	48,107,110,163,164,165,166,168,169,176,177,178,179,224,230,239,240,245,279,324,330,334,345,346,356,363,364,365,366,367,368,403,444,467,513,523,554,555,558,564,586,599,602,606,610,619,620,632,636,656,664,685,725,746,779,780,781,795,797,840,842,893,894,895,896,897,960,961,973,1015,1052,1084,1090,1099,1102,1108,1134,1145,1199,1202,1207,1209,1217,1254,1311,1312,1392,1393,1425,1531,1532,1533,1534,1535,1536,1537,1538,1589,1611,1635,1645,1646,1733,1738,1753,1804,1829,1839,1863,1927,1946,1977,1979,1993,1996,2021,2022,2023,2055,2056,2082,2087,2099,2117,2118,2126,2141,2142,2169,2171,2293,2312,2347,2355,2359,2411,2478,2486,2524,2565,2566,2591,2592,2629,2630,2632,2633,2634,2635,2651,2652,2679,2685,2686,2687,2699,2707,2726,2820,2822,2866,2884,2886,2891,2892,2893,2896,2914,2919,2941,2943,2974,2975,2984,3079,3088,3092,3208,3234,3280,3286,3293,3305,3310,3314,3319,3324,3334,3338,3352,3368,3386,3389,3430,3458,3545,3546,3574,3580,3588,3613,3661,3684,3694,3728,3772,3774,3846,3862,3865,3893,3896,3902,3919,3920,3929,3966,3988,3994,4034,4065,4067,4088,4098,4106,4113,4155,4156,4161,4177,4189,4193,4206,4272,4290,4291,4293,4302,4324,4343,4355,4357,4376,4377,4390,4403,4408,4422,4424,4456,4461,4470,4471,4489,4496,4515,4529,4530,4537,4540,4541,4560,4569,4572,4616,4628,4665,4680,4682,4769,4809,4819,4830,4846,4883,4946,5056,5064,5069,5085,5091,5098,5109,5112,5130,5154,5201,5206,5207,5223,5226,5228,5259,5275,5276,5292,5295,5296,5339,5343,5354,5358,5462,5487,5511,5524,5528,5529,5575,5609,5610,5614,5673,5712,5726,5727,5746,5748,5749,5780,5811,5834,5849,5893,5949,5995,6005,6056,6057,6061,6062,6095,6115,6141,6254,6297,6332,6351,6356,6385,6388,6417,6418,6449,6518,6595,6642,6643,6644,6645,6646,6647,6648,6649,6650,6651,6652,6653,6654,6679,6722,6844,6845,6852,6864,6949,6973,6974,7010,7023,7027,7071,7107,7144,7157,7158,7159,7161,7162,7203,7220,7256,7320,7349,7350,7437,7484,7518,7522,7523,7547,7549,7551,7553,7694,7698,7699,7777,7843,7849,7851,7856,7889,7910,7920,7925,7930,7931,7946,7971,8004,8096,8097,8098,8099,8100,8101,8102,8169,8257,8270,8291,8314,8319,8459,8497,8607,8624,8629,8658,8666,8667,8668,8677,8682,8683,8685,8698,8700,8704,8728,8729,8766,8793,8798,8810,8820,8821,8829,8879,8899,8908,9067,9071,9093,9095,9096,9099,9100,9106,9107,9110,9111,9135,9160,9165,9167,9169,9212,9213,9228,9269,9364,9381,9382,9383,9404,9405,9448,9468,9492,9529,9530,9611,9623,9629,9655,9719,9736,9760,9771,9781,9783,9786,9833,9853,9864,9911,9956,9979,9984,9992,10006,10010,10021,10079,10112,10156,10204,10224,10225,10234,10242
2	344,520,4289,4331,4332,4391,4393,6230,7169,7208,7262,8376,8935,8936
3	91,108,730,936,949,950,951,965,1004,1233,1564,1584,1603,1676,1747,1748,1749,1754,1811,2053,2578,2579,2580,2898,2987,3065,3610,3740,3964,4008,4166,4168,4169,4170,4319,4334,4353,5039,5266,5313,5669,5719,5849,5859,5937,6235,6352,6363,6567,6634,6637,6762,6818,6819,6820,6926,6927,6928,6929,6989,6991,6992,6993,6995,6996,6997,7034,7174,7201,7216,7249,7258,7286,7290,7356,7648,7873,8363,8394,8412,8437,8440,8717,8819,8957,9976,10079,10177
4	181,675,1092,1283,1284,1286,1289,1291,1292,1551,1552,2042,2337,3603,3921,4469,5705,6083,7423,8001,9488,9869
5	501,1964,1965,1966,3499,3666,4299,4425,5280,5807,5808,5809,7164,7345,7346,10037,10038,10040
6	58,98,99,100,114,122,171,212,229,285,468,469,470,471,472,624,625,683,723,793,827,842,865,934,980,981,1001,1018,1086,1101,1115,1182,1227,1298,1303,1333,1343,1358,1365,1456,1474,1596,1637,1705,1852,1933,1940,2007,2024,2025,2026,2075,2103,2122,2138,2158,2180,2241,2298,2317,2320,2347,2376,2377,2414,2415,2416,2417,2438,2483,2507,2516,2533,2602,2636,2681,2708,2722,2760,2770,2778,2856,3063,3084,3193,3207,3211,3225,3321,3328,3337,3401,3433,3453,3465,3590,3622,3684,3718,3721,3732,3736,3820,3828,3844,3848,3951,3972,4004,4005,4010,4042,4045,4068,4079,4108,4120,4199,4287,4299,4338,4339,4381,4387,4491,4512,4530,4551,4569,4586,4587,4725,4760,4909,4946,4970,5031,5033,5069,5099,5166,5187,5191,5196,5223,5271,5273,5314,5316,5333,5404,5412,5424,5448,5479,5502,5517,5569,5612,5683,5720,5721,5743,5748,5753,5754,5765,5870,5886,5963,6026,6034,6045,6109,6110,6119,6128,6164,6184,6236,6252,6253,6274,6295,6305,6357,6545,6582,6588,6590,6609,6656,6698,6705,6709,6731,6802,6809,6953,7012,7031,7109,7173,7177,7193,7194,7203,7213,7214,7245,7246,7247,7356,7357,7388,7399,7413,7486,7492,7634,7635,7636,7638,7684,7734,7741,7808,7831,7962,7981,8149,8315,8319,8321,8335,8338,8345,8355,8369,8403,8467,8503,8626,8627,8628,8641,8664,8665,8674,8680,8682,8689,8692,8694,8696,8725,8747,8772,8792,8800,8807,8854,8859,8860,8868,8902,8937,8961,9010,9016,9124,9178,9192,9259,9323,9348,9435,9440,9492,9496,9553,9555,9570,9632,9668,9672,9712,9730,9733,9738,9745,9781,9843,9846,9941,9997,10050,10057,10079,10092,10164,10173,10187,10188,10210
7	916,1525,2151,2336,2340,2840,4494,5776,6223,7168,8909,9372
8	8675
9	161,371,952,1005,1169,1309,1342,1346,1360,1560,1684,1710,2449,2728,2768,2769,2771,3391,3511,3598,3604,3615,3718,3997,4158,4283,4295,4391,4971,4980,4992,5445,5682,6268,6555,6615,6625,7185,7244,7250,7287,7580,7700,7824,8413,8416,8420,8434,8455,8597,8598,8941,8997,9168,9379,9998
