district	schoolName
0	5295,5296
1	69,288,570,1067,1195,1457,1495,1622,1623,2859,3122,3382,3400,3633,3897,3906,4643,4718,5100,5888,6445,6460,6959,7897,8806,9091,9251,9960,10118
2	98,99,100,1365,5033,6034
3	1051
4	1975,4047,4266,4316,5876,5941,5942,8254,9533
5	134,1956,2402,2480,2604,2775,3501,3767,5894,5929,6194,9133,9582,9850,9934
6	165,166,1209,1993,2117,2941,5091,6654,9404,10224,10225
7	163,164,168,169,330,356,781,2478,2699,2914,3293,3305,3988,4355,5228,5811,6351,7698,7925,9095,9096,9984,10006
8	176,177,178,179,2056,5511,5673,6679
9	211,1114,1616,2890,3337,3430,3660,5651,5704,5735,6151,7010,7450,7579,8066,10024,10190
10	223,752,1637,2138,2547,3294,3337,4476,4526,6118,6664,6831,9644
11	241
12	290,291,9305
13	300,1045,2137,4486,6240,8346
14	305,309,740,1461,2314,3194,4021,4448,7319,9581,9625
15	318
16	322
17	63,130,297,489,874,1629,1890,1891,2482,4190,4617,4815,4821,5105,5115,5240,5491,5990,6596,6667,7571,7574,7939,8007,8974,9154,10031
18	339
19	232,340,341,342,524,526,1939,3207,4089,4887,4926,4973,5319,6312,6497,7140,7352,7882,7949,8852,8864,9084,9358,9492,9833,10222
20	8376
21	344,520,4289,4331,4332,4391,4393,7169,7208,7262,8935,8936
22	768,2695,3299,3459,3593,3763,3980,4454,4643,4751,5217,5282,5520,5591,5722,6717,6786,6942,7286,7336,7588,7839,7896,8784,8880,9917
23	379,718,1137,2217,2240,3532,4183,4530,4687,5184,5283,5539,6794,6863,8252,8574,8956,9725,9902
24	394,396,6533
25	457
26	463
27	461,462,2398,2406,2674,4071,4839,5005,5269,6950,6952,7152,7395,7414,8519,8520,10012
28	468,469,470,471,472,865,934,981,1101,1456,2241,2317,2416,2533,3337,3684,4387,4760,5273,5333,5721,6045,6274,6802,7012,7357,8937,9323
29	483,485,2394,3678,4048,5659,7145,7499,7688,8160,8483,8959,9528,10238
30	503,504,714,1347,3166,3223,4072,4131,4228,5342,7485,7618
31	506,1901,3372,7548,8886,9380
32	517,6890
33	542,2176,7035
34	546,8089
35	806,2751,3901,8443
36	637,638,3158,6155,6967,8015,8064,8199,8217,8830,9033
37	158,644,853,854,2865,6070,6071,7099,8349,9153
38	317,646,3028,7784,8499
39	217,686,1587,1689,1867,3211,3542,3543,3981,5337,5538,6236,7002,8418,8502,9499,9574,9707
40	700
41	918,919,1464,1505,1637,1771,1931,1943,2005,2206,2528,2538,2544,2887,3043,3297,3305,3337,3848,3983,4193,4201,4461,5152,5340,5849,6269,6287,6311,7080,7202,7419,7445,7843,8321,8426,8750,9700,9751,9787,9807,10025,10036
42	713,1597,1681,1682,2297,2875,2958,3258,4473,4717,5643,6521,6714,7255,8194,8445,8448,9253,9621,9734
43	717
44	719
45	720
46	730
47	733,734,735,736,1249,1597,3187,3976,4118,6010,6390,6443,7578,8925
48	739,6436
49	763,764,765,766,1228,1344,1599,1661,2161,3977,5149,6113,8498
50	6602,6641
51	772,774,2472,2693,4371,6578,8880,9227
52	788,3434
53	712,937,938,939,1723,3099,6526
54	812,813,6498,8095
55	17,439,815,817,818,1143,3565,4066,6241,6941,8069,8876,9171,9237
56	842
57	851
58	4696,5874,9023
59	182,856,2127,2962,2998,3285,4323,5029,5816,7450,8541,8756,9146,9781
60	1597,1803,3268,6367,7440,7556,8161
61	864
62	876,877,1976,4495,5191,5770,5796,7775
63	8439,8817,10244
64	893,894,895,896,897,1753,2126,2886,3310,4189,4461,4569,4769,5112,5339,5575,5746,6864,7522,7856,9169,9228,9383,9781,9992
65	908,1144,1735,5012,5566,6203,6466,6557,7161,7935,8450,8843,9245,9612
66	932,933,2797,3908,6187
67	940
68	941
69	2474,9068,9194
70	943,944
71	946
72	947,948
73	949,950,951
74	974,975,4164
75	371,2449,3511,3615,6555
76	881,3101,3102,9289
77	1003
78	1017
79	237,535,1026,1671,3315,3541,3649,4378,4932,5330,6617,7457,8044,9651
80	1031,1032,1033,6484,7061
81	1040,1041,1042,2431
82	750,4379,5975,6313,7135
83	1075,2403,7570
84	547,1076,1077,1078,1079,5069,5694,6709,10002
85	122,1086,2708,3433,5316,5720,5765,7203,7413,7831,9997
86	1092
87	1109,6723
88	1116,5260,6981
89	1118
90	1005,1169,1309,1342,1710,6615,7700,7824,8455,9998
91	4602,6628
92	576,1178,1427,1685,3641,4405,5505
