district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
Private,Alvord Adult Education,,5.7,ppb,True,tested,,Trøndelag,64.573154,11.528036,5.7
Private,Arvin High,,,,False,tested,,Trøndelag,64.573154,11.528036,
Private,Ballard Elementary,,10.0,ppb,True,tested,,Trøndelag,64.573154,11.528036,10.0
Private,Crescent Valley Public Charter,,,,False,tested,,Trøndelag,64.573154,11.528036,
Private,Desert Mirage High,,,,False,tested,,Trøndelag,64.573154,11.528036,
Private,Fusion Charter,,10.6,ppb,True,tested,,Trøndelag,64.573154,11.528036,10.6
Private,Hickman Charter,,,,False,tested,,Trøndelag,64.573154,11.528036,
Private,High Tech Middle Media Arts,,,,False,tested,,Trøndelag,64.573154,11.528036,
Private,KIPP Adelante Preparatory Academy,,,,False,tested,,Trøndelag,64.573154,11.528036,
Private,Live Oak Charter,,,,False,tested,,Trøndelag,64.573154,11.528036,
Private,Lodestar,,,,False,tested,,Trøndelag,64.573154,11.528036,
Private,LPS Oakland R & D Campus,,,,False,tested,,Trøndelag,64.573154,11.528036,
Private,Memorial Scholars & Athletes,,,,False,tested,,Trøndelag,64.573154,11.528036,
Private,New Day Academy,,,,False,tested,,Trøndelag,64.573154,11.528036,
Private,Norman R. Brekke Elementary,,,,False,tested,,Trøndelag,64.573154,11.528036,
Private,Ocean Alternative Education Center,,,,False,tested,,Trøndelag,64.573154,11.528036,
Private,Phoenix High Community Day,,,,False,tested,,Trøndelag,64.573154,11.528036,
Private,San Antonio Continuation,,,,False,tested,,Trøndelag,64.573154,11.528036,
La Mesa-Spring Valley,"Science, Technology, Engineering, Arts and Math Academy at La Presa",,,,,exempt,,Trøndelag,64.573154,11.528036,
Private,Spectrum Center - Mission Valley,,,,False,tested,,Trøndelag,64.573154,11.528036,
Private,Sycamore Rocks Elementary,,,,False,tested,,Trøndelag,64.573154,11.528036,
Private,USC East College Prep,,,,False,tested,,Trøndelag,64.573154,11.528036,
Private,Vista del Mar Middle,,,,False,tested,,Trøndelag,64.573154,11.528036,
