district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
Moreno Valley Unified,Alessandro,23311 Dracaea Avenue Moreno Valley CA 92553-3201,,,False,tested,Moreno Valley,Riverside County,33.928065000000004,-117.25603500000001,
Moreno Valley Unified,Armada Elementary,25201 John F. Kennedy Drive Moreno Valley CA 92551-7138,,,False,tested,Moreno Valley,Riverside County,33.902243,-117.223629,
Moreno Valley Unified,Badger Springs Middle,24750 Delphinium Avenue Moreno Valley CA 92553-5812,,,False,tested,Moreno Valley,Riverside County,33.906509,-117.232249,
Moreno Valley Unified,Bayside Community Day,24501 Cactus Avenue Moreno Valley CA 92553,,,False,tested,Moreno Valley,Riverside County,33.909958,-117.23486000000001,
Moreno Valley Unified,Bear Valley Elementary,26125 Fir Avenue Moreno Valley CA 92553-2203,,,False,tested,Moreno Valley,Riverside County,33.935396999999995,-117.206727,
Moreno Valley Unified,Box Springs Elementary,11900 Athens Drive Moreno Valley CA 92557-5934,,,False,tested,Moreno Valley,Riverside County,33.948739,-117.276343,
Moreno Valley Unified,Butterfield Elementary,13400 Kitching Street Moreno Valley CA 92553-6807,5.93,ppb,True,tested,Moreno Valley,Riverside County,33.926033000000004,-117.21753600000001,5.93
Moreno Valley Unified,Canyon Springs High,23100 Cougar Canyon Drive Moreno Valley CA 92557-3801,,,False,tested,Moreno Valley,Riverside County,33.961199,-117.260701,
Moreno Valley Unified,Chaparral Hills Elementary,24850 Delphinium  Avenue Moreno Valley CA 92553-5876,,,False,tested,Moreno Valley,Riverside County,33.906509,-117.229222,
Moreno Valley Unified,Cloverdale Elementary,12050 Kitching Street Moreno Valley CA 92557-7623,,,False,tested,Moreno Valley,Riverside County,33.945496999999996,-117.217577,
Moreno Valley Unified,Cornerstone Fellowship Academy,12407 Yuma Court Moreno Valley CA 92557,,,,not tested,Moreno Valley,Riverside County,33.940687,-117.214142,
Moreno Valley Unified,Creekside Elementary,13563 Heacock Street Moreno Valley CA 92553-3300,,,,not tested,Moreno Valley,Riverside County,33.923621999999995,-117.24384199999999,
Moreno Valley Unified,Edgemont Elementary,21790 Eucalyptus Avenue Moreno Valley CA 92553-8141,,,,not tested,Moreno Valley,Riverside County,33.931472,-117.282665,
Moreno Valley Unified,Hendrick Ranch Elementary,25570 Brodiaea Avenue Moreno Valley CA 92553-2902,,,False,tested,Moreno Valley,Riverside County,33.913786,-117.216434,
